Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,100,India,5510,Production,15,Wheat,1993,1993,tonnes,57210100,,Official data
QCL,Crops and livestock products,100,India,5510,Production,15,Wheat,1994,1994,tonnes,59840000,,Official data
QCL,Crops and livestock products,100,India,5510,Production,15,Wheat,1995,1995,tonnes,65767400,,Official data
QCL,Crops and livestock products,100,India,5510,Production,15,Wheat,1996,1996,tonnes,62097400,,Official data
QCL,Crops and livestock products,100,India,5510,Production,15,Wheat,1997,1997,tonnes,69350200,,Official data
QCL,Crops and livestock products,100,India,5510,Production,15,Wheat,1998,1998,tonnes,66345000,,Official data
QCL,Crops and livestock products,100,India,5510,Production,15,Wheat,1999,1999,tonnes,71287504,,Official data
QCL,Crops and livestock products,100,India,5510,Production,15,Wheat,2000,2000,tonnes,76368896,,Official data
QCL,Crops and livestock products,100,India,5510,Production,15,Wheat,2001,2001,tonnes,69680896,,Official data
QCL,Crops and livestock products,100,India,5510,Production,15,Wheat,2002,2002,tonnes,72766304,,Official data
QCL,Crops and livestock products,100,India,5510,Production,15,Wheat,2003,2003,tonnes,65760800,,Official data
QCL,Crops and livestock products,100,India,5510,Production,15,Wheat,2004,2004,tonnes,72156200,,Official data
QCL,Crops and livestock products,100,India,5510,Production,15,Wheat,2005,2005,tonnes,68636896,,Official data
QCL,Crops and livestock products,100,India,5510,Production,15,Wheat,2006,2006,tonnes,69354496,,Official data
QCL,Crops and livestock products,100,India,5510,Production,15,Wheat,2007,2007,tonnes,75806704,,Official data
QCL,Crops and livestock products,100,India,5510,Production,15,Wheat,2008,2008,tonnes,78570200,,Official data
QCL,Crops and livestock products,100,India,5510,Production,15,Wheat,2009,2009,tonnes,80679400,,Official data
QCL,Crops and livestock products,100,India,5510,Production,15,Wheat,2010,2010,tonnes,80803600,,Official data
QCL,Crops and livestock products,100,India,5510,Production,15,Wheat,2011,2011,tonnes,86874000,,Official data
QCL,Crops and livestock products,100,India,5510,Production,15,Wheat,2012,2012,tonnes,94880000,,Official data
QCL,Crops and livestock products,100,India,5510,Production,15,Wheat,2013,2013,tonnes,93510000,,Official data
QCL,Crops and livestock products,100,India,5510,Production,15,Wheat,2014,2014,tonnes,95850000,,Official data
QCL,Crops and livestock products,100,India,5510,Production,15,Wheat,2015,2015,tonnes,86530000,,Official data
QCL,Crops and livestock products,100,India,5510,Production,15,Wheat,2016,2016,tonnes,92290000,,Official data
QCL,Crops and livestock products,100,India,5510,Production,15,Wheat,2017,2017,tonnes,98510220,,Official data
QCL,Crops and livestock products,100,India,5510,Production,15,Wheat,2018,2018,tonnes,99869520,,Official data
